"","Time","User.full.name","Event.context","Component","Event.name","Description","Origin","IP.address"
"91","13/09/17, 21:03","1218","Folder: Additional reading materials","Folder","Course module viewed","The user with id '79710' viewed the 'folder' activity with course module id '316770'.","web","193.40.10.90"
"92","13/09/17, 21:03","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"93","11/09/17, 20:01","1218","URL: Syllabus info SVHI.06.010 (17/18 A OU deg. st)","URL","Course module viewed","The user with id '79710' viewed the 'url' activity with course module id '313925'.","web","193.40.10.90"
"94","11/09/17, 20:01","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"95","10/09/17, 18:18","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"96","10/09/17, 18:18","1218","Forum: News forum","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '313926'.","web","193.40.10.90"
"97","10/09/17, 18:17","1218","URL: Syllabus info SVHI.06.010 (17/18 A OU deg. st)","URL","Course module viewed","The user with id '79710' viewed the 'url' activity with course module id '313925'.","web","193.40.10.90"
"98","10/09/17, 18:17","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"99","10/09/17, 18:05","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","User list viewed","The user with id '79710' viewed the list of users in the course with id '4880'.","web","193.40.10.90"
"100","10/09/17, 18:04","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"101","10/09/17, 18:04","1218","URL: Slides on the assignment","URL","Course module viewed","The user with id '79710' viewed the 'url' activity with course module id '316788'.","web","193.40.10.90"
"102","10/09/17, 18:03","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"103","10/09/17, 18:03","1218","Folder: Presentations by Demetrios Sampson and Pihel Hunt","Folder","Course module viewed","The user with id '79710' viewed the 'folder' activity with course module id '316786'.","web","193.40.10.90"
"104","10/09/17, 18:03","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"105","10/09/17, 18:03","1218","Folder: Additional reading materials","Folder","Course module viewed","The user with id '79710' viewed the 'folder' activity with course module id '316770'.","web","193.40.10.90"
"106","10/09/17, 18:03","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"107","10/09/17, 18:03","1218","Forum: Discuss technology use in education","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '316782'.","web","193.40.10.90"
"108","10/09/17, 18:02","1218","URL: Presentation","URL","Course module viewed","The user with id '79710' viewed the 'url' activity with course module id '317907'.","web","193.40.10.90"
"109","10/09/17, 18:00","1218","URL: Presentation","URL","Course module viewed","The user with id '79710' viewed the 'url' activity with course module id '316779'.","web","193.40.10.90"
"110","10/09/17, 18:00","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"111","10/09/17, 17:59","1218","Folder: Additional reading materials","Folder","Course module viewed","The user with id '79710' viewed the 'folder' activity with course module id '316770'.","web","193.40.10.90"
"112","10/09/17, 17:59","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"113","10/09/17, 17:59","1218","Forum: Discuss technology use in education","Forum","Course module viewed","The user with id '79710' viewed the 'forum' activity with course module id '316782'.","web","193.40.10.90"
"114","10/09/17, 17:57","1218","URL: Syllabus info SVHI.06.010 (17/18 A OU deg. st)","URL","Course module viewed","The user with id '79710' viewed the 'url' activity with course module id '313925'.","web","193.40.10.90"
"115","10/09/17, 17:56","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
"116","10/09/17, 17:56","1218","Folder: Presentations by Demetrios Sampson and Pihel Hunt","Folder","Course module viewed","The user with id '79710' viewed the 'folder' activity with course module id '316786'.","web","193.40.10.90"
"117","10/09/17, 17:54","1218","Course: Technology Use in Education (SVHI.06.010), Aš","System","Course viewed","The user with id '79710' viewed the course with id '4880'.","web","193.40.10.90"
