Time,Event context,Component,Event name,Description,Origin,IP address
"14/09/17, 15:45",Forum: Forum,Forum,Course module viewed,The user with id '79398' viewed the 'forum' activity with course module id '342033'.,web,90.191.83.102
"14/09/17, 15:01","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 15:01","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 15:01","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course section updated,The user with id '79398' updated section number '4' for the course with id '4880',web,90.191.83.102
"14/09/17, 15:00","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 15:00","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course section updated,The user with id '79398' updated section number '4' for the course with id '4880',web,90.191.83.102
"14/09/17, 15:00","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 14:58","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 14:58",Other,System,Course module deleted,The user with id '79398' deleted the 'bigbluebuttonbn' activity with course module id '338381'.,web,90.191.83.102
"14/09/17, 14:58","Course: Technology Use in Education (SVHI.06.010), AÜ",Recycle bin,Item created,Item created with ID 18638.,web,90.191.83.102
"14/09/17, 14:58","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 14:58","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 14:58",Forum: Forum,Forum,Course module viewed,The user with id '79398' viewed the 'forum' activity with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:58",Forum: Forum,Forum,Discussion subscription created,The user with id '79398' subscribed the user with id '79398' to the discussion  with id '328903' in the forum with the course module id '342033'.,web,90.191.83.102
"14/09/17, 14:58",Forum: Forum,Forum,Discussion created,The user with id '79398' has created the discussion with id '328903' in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:58",Forum: Forum,Forum,Some content has been posted.,The user with id '79398' has posted content in the forum post with id '875965' in the discussion '328903' located in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:57",Forum: Forum,Forum,Course module viewed,The user with id '79398' viewed the 'forum' activity with course module id '342033'.,web,90.191.83.102
